date_pre,date_post,region,erosion_km2,accretion_km2
2018-05-09,2018-05-21,island_aggregate,0.0647,0.3445
2018-05-21,2018-06-02,island_aggregate,0.0037,1.0137
2018-06-02,2018-07-02,island_aggregate,0.0368,1.1787
2018-07-02,2018-07-08,island_aggregate,1.614,0.8683
2018-07-08,2018-08-01,island_aggregate,0.7108,1.8076
2018-08-01,2018-08-07,island_aggregate,0.9448,4.6563
2018-08-07,2018-08-31,island_aggregate,6.5374,1.2161
2018-08-31,2018-09-12,island_aggregate,0.6379,1.5217
2018-09-12,2018-11-11,island_aggregate,1.6739,2.2507
2018-11-11,2018-11-17,island_aggregate,1.9947,0.0092
2018-11-17,2018-11-29,island_aggregate,0.1986,0.9478
2018-11-29,2018-12-11,island_aggregate,0.7758,9.5777
2018-12-11,2019-01-10,island_aggregate,9.3424,0.9323
2019-01-10,2019-02-09,island_aggregate,0.71,1.4226
2019-02-09,2019-03-17,island_aggregate,1.1684,1.5236
2019-03-17,2019-03-29,island_aggregate,2.8067,0.5094
2019-03-29,2019-04-10,island_aggregate,0.7064,0.1347
2019-04-10,2019-04-28,island_aggregate,0.0184,2.3222
2019-04-28,2019-05-22,island_aggregate,3.7622,1.8918
2019-05-22,2019-05-28,island_aggregate,1.1833,3.9613
2019-05-28,2019-06-21,island_aggregate,2.1241,0.4937
2019-06-21,2019-06-27,island_aggregate,1.7285,2.9484
2019-06-27,2019-07-27,island_aggregate,3.4571,0.3988
2019-07-27,2019-08-26,island_aggregate,0.0111,1.5817
2019-08-26,2019-09-19,island_aggregate,1.1376,9.3551
2019-09-19,2019-09-25,island_aggregate,9.2437,1.5019
2019-09-25,2019-10-25,island_aggregate,0.5176,3.2702
2019-10-25,2019-11-18,island_aggregate,3.5295,0.2859
2019-11-18,2019-11-30,island_aggregate,0.427,1.2559
2019-11-30,2020-02-10,island_aggregate,2.8963,0.8662
2020-02-10,2020-03-05,island_aggregate,1.2022,2.5763
2020-03-05,2020-03-11,island_aggregate,1.9411,0.4315
2020-03-11,2020-04-16,island_aggregate,1.6776,0.3805
2020-04-16,2020-04-28,island_aggregate,0.1355,1.0888
2020-04-28,2020-05-16,island_aggregate,1.934,0.8019
2020-05-16,2020-05-28,island_aggregate,0.7871,4.1112
2020-05-28,2020-06-09,island_aggregate,2.191,2.0587
2020-06-09,2020-06-15,island_aggregate,1.5963,0.0141
2020-06-15,2020-06-27,island_aggregate,0.1706,0.279
2020-06-27,2020-07-09,island_aggregate,0.0554,2.2251
2020-07-09,2020-07-15,island_aggregate,0.702,7.9799
2020-07-15,2020-08-08,island_aggregate,9.1013,0.1507
2020-08-08,2020-08-14,island_aggregate,0.6374,0.035
2020-08-14,2020-09-07,island_aggregate,0.2507,1.9234
2020-09-07,2020-10-13,island_aggregate,1.2249,1.4336
2020-10-13,2020-11-06,island_aggregate,1.5873,0.1091
2020-11-06,2020-11-18,island_aggregate,0.348,0.8248
2020-11-18,2020-12-06,island_aggregate,0.6569,0.535
2020-12-06,2020-12-18,island_aggregate,0.1201,1.1469
2020-12-18,2021-01-05,island_aggregate,2.2422,0.0037
2021-01-05,2021-01-17,island_aggregate,0.4163,0.2106
2021-01-17,2021-03-18,island_aggregate,0.1391,1.6642
